Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,44,0,32,243.69112045447267,11.051000008592382,3055.811000012909,90509.0,0.7478065853055214,0.0,32,48,63,83,760,940,3100,3100,3100,3100,3100
POST,/api/ai/parse [POST],7,0,30000,27080.09324285584,7350.795899998047,46609.90440000023,222.14285714285714,0.11896922948042385,0.0,30000,32000,40000,40000,47000,47000,47000,47000,47000,47000,47000
GET,/api/checklists,22,0,17,70.89179545304928,10.171399990213104,924.975900008576,1317.0,0.3739032926527607,0.0,18,24,53,54,97,110,920,920,920,920,920
GET,/api/checklists/1/lock,26,26,2400,3988.1327730774783,13.301700004376471,6984.927700003027,22.0,0.44188570949871714,0.44188570949871714,5400,6400,6400,6400,7000,7000,7000,7000,7000,7000,7000
PUT,/api/doc/{id}/lock [PUT heartbeat],26,26,2300,4035.6653923087065,11.67649999842979,6986.882900004275,22.0,0.44188570949871714,0.44188570949871714,2400,6400,6400,6400,7000,7000,7000,7000,7000,7000,7000
GET,/api/events,59,0,43,216.596994915547,12.921000001369976,3053.4232999925734,8874.610169491525,1.002740648477858,0.0,43,69,93,110,760,910,3100,3100,3100,3100,3100
POST,/api/events [POST],230,0,21,72.40975478255322,7.544499996583909,1395.67490000627,11.0,3.9089889686424977,0.0,22,31,45,60,100,340,510,1000,1400,1400,1400
DELETE,/api/events/{id} [DELETE],225,0,2100,2575.1773680006672,2059.6106000011787,6755.355600005714,11.0,3.824010947585052,0.0,2100,2200,2200,2200,5400,6600,6700,6700,6800,6800,6800
PUT,/api/events/{id} [PUT],229,229,30,65.9070371171789,10.201299999607727,621.2716000009095,21.0,3.8919933644310087,3.8919933644310087,30,40,48,57,120,430,460,460,620,620,620
GET,/api/kanban,45,0,27,151.1078400023204,9.59119999606628,1497.5966999918455,10437.0,0.7648021895170104,0.0,27,44,57,70,760,880,1500,1500,1500,1500,1500
GET,/api/notifications/count,63,0,6800,6628.151580952117,2379.3771999917226,6992.875900003128,11.0,1.0707230653238147,0.0,6800,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
GET,/api/notifications/pending,63,0,6800,6693.118250793926,5422.040099991136,6990.228599999682,2.0,1.0707230653238147,0.0,6800,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
POST,/api/upload/image [POST],83,83,100,426.90469156628114,39.170599993667565,5167.427000007592,59.0,1.4106351495535971,1.4106351495535971,100,140,190,340,1400,1600,5200,5200,5200,5200,5200
GET,/calendar,21,0,23,72.96383809409149,12.402199994539842,924.5493000053102,107845.0,0.3569076884412715,0.0,23,30,41,42,61,110,920,920,920,920,920
GET,/check,68,0,27,245.73864852936822,11.233199998969212,3052.1181000076467,179931.0,1.1557010863812602,0.0,30,47,70,95,880,1500,2900,3100,3100,3100,3100
GET,/project-manage,43,0,34,137.73415581428793,9.729299999889918,1494.6746000059647,163823.0,0.7308109810940322,0.0,34,54,61,69,220,770,1500,1500,1500,1500,1500
GET,/trash,41,0,22,88.07733170964994,10.009899997385219,1426.4122000022326,103593.0,0.696819772671054,0.0,22,36,51,64,120,150,1400,1400,1400,1400,1400
GET,[warmup] cookie check,50,0,3000,3126.215592001099,2986.9974000030197,4019.032199998037,163823.0,0.8497802105744561,0.0,3000,3100,3300,3300,3300,3500,4000,4000,4000,4000,4000
,Aggregated,1345,364,66,1561.3103707064909,7.544499996583909,46609.90440000023,29000.573234200743,22.85908766445287,6.18639993298204,66,2100,2100,2300,6400,6900,7000,7000,40000,47000,47000
