conn_id,username,connected,connect_time_ms,disconnected_early,reconnect_count,messages_received,ia_avg_ms,ia_p95_ms,queue_full_est,last_error
0,test_perf_001,True,468.0,False,0,3,27117.5,27172.0,0,
1,test_perf_002,True,422.0,False,0,3,27117.5,27172.0,0,
2,test_perf_003,True,422.0,False,0,3,27117.5,27172.0,0,
3,test_perf_004,True,406.0,False,0,3,27125.0,27172.0,0,
4,test_perf_005,True,406.0,False,0,3,27117.5,27172.0,0,
5,test_perf_006,True,406.0,False,0,3,27117.5,27172.0,0,
6,test_perf_007,True,406.0,False,0,3,27117.5,27172.0,0,
7,test_perf_008,True,406.0,False,0,3,27117.5,27172.0,0,
8,test_perf_009,True,406.0,False,0,3,27117.5,27172.0,0,
9,test_perf_010,True,406.0,False,0,3,27117.5,27172.0,0,
10,test_perf_011,True,406.0,False,0,3,27117.5,27172.0,0,
11,test_perf_012,True,406.0,False,0,3,27117.5,27172.0,0,
12,test_perf_013,True,406.0,False,0,3,27117.5,27172.0,0,
13,test_perf_014,True,406.0,False,0,3,27125.0,27172.0,0,
14,test_perf_015,True,406.0,False,0,3,27109.5,27156.0,0,
15,test_perf_016,True,422.0,False,0,3,27109.5,27156.0,0,
16,test_perf_017,True,406.0,False,0,3,27109.5,27156.0,0,
17,test_perf_018,True,422.0,False,0,3,27109.5,27156.0,0,
18,test_perf_019,True,406.0,False,0,3,27109.5,27156.0,0,
19,test_perf_020,True,390.0,False,0,3,27125.0,27172.0,0,
20,test_perf_021,True,390.0,False,0,3,27117.5,27172.0,0,
21,test_perf_022,True,390.0,False,0,3,27109.5,27156.0,0,
22,test_perf_023,True,390.0,False,0,3,27109.5,27156.0,0,
23,test_perf_024,True,390.0,False,0,3,27117.5,27172.0,0,
24,test_perf_025,True,390.0,False,0,3,27109.5,27156.0,0,
25,test_perf_026,True,390.0,False,0,3,27109.5,27156.0,0,
26,test_perf_027,True,390.0,False,0,3,27109.5,27156.0,0,
27,test_perf_028,True,390.0,False,0,3,27117.5,27172.0,0,
28,test_perf_029,True,390.0,False,0,3,27117.5,27172.0,0,
29,test_perf_030,True,390.0,False,0,3,27117.5,27172.0,0,
30,test_perf_031,True,390.0,False,0,3,27117.5,27172.0,0,
31,test_perf_032,True,390.0,False,0,3,27117.5,27172.0,0,
32,test_perf_033,True,390.0,False,0,3,27117.5,27172.0,0,
33,test_perf_034,True,390.0,False,0,3,27117.5,27172.0,0,
34,test_perf_035,True,375.0,False,0,3,27117.5,27172.0,0,
35,test_perf_036,True,375.0,False,0,3,27117.5,27172.0,0,
36,test_perf_037,True,375.0,False,0,3,27117.5,27172.0,0,
37,test_perf_038,True,375.0,False,0,3,27117.5,27172.0,0,
38,test_perf_039,True,375.0,False,0,3,27125.0,27172.0,0,
39,test_perf_040,True,375.0,False,0,3,27125.0,27172.0,0,
40,test_perf_041,True,375.0,False,0,3,27117.5,27172.0,0,
41,test_perf_042,True,375.0,False,0,3,27117.5,27172.0,0,
42,test_perf_043,True,375.0,False,0,3,27117.5,27172.0,0,
43,test_perf_044,True,375.0,False,0,3,27117.5,27172.0,0,
44,test_perf_045,True,375.0,False,0,3,27117.5,27172.0,0,
45,test_perf_046,True,375.0,False,0,3,27125.0,27172.0,0,
46,test_perf_047,True,375.0,False,0,3,27125.0,27172.0,0,
47,test_perf_048,True,375.0,False,0,3,27125.0,27172.0,0,
48,test_perf_049,True,375.0,False,0,3,27117.5,27172.0,0,
49,test_perf_050,True,359.0,False,0,3,27117.5,27172.0,0,
